title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound,cdmid,contentdm file name,contentdm file path,objectid
Dan Grimm interview,"Grimm, Dan","Wadland, Justin",7/20/2018,20-Jul-18,2018,Government official; Community member,Pierce County,"At the start of this interview, Dan Grimm sheds light on the origins of the idea of a public university in the South Sound, which began in the 1970s. He explains the structure of higher education in the state of Washington, stating that it was aligned with the demographics more than 100 years ago. He explains how the population changes overtime have especially impacted the South Puget Sound region, and that the resulting disparity in education opportunities became a genesis for the founding of the University. Grimm recounts his roles on the House Higher Education Committee, when he started to advocate for university campuses in the area, stretching from Everett, along the east side of Lake Washington, and down to Tacoma. He discusses the revitalization of Downtown Tacoma and the restoration of the Union Station, crediting former Representative Jim Salatino for starting the Theater District. Grimm proceeds to discuss the political advantages and obstacles he and his colleagues in the legislature faced in the early stages of trying to establish a branch campus in Tacoma, and he recounts the dramatic turn of events when Sam Smith, who was in favor of branch campuses, became the new president of Washington State University and took a helicopter tour of the city. In the second half of the interview, Grimm goes into more detail about steps to place the UW Tacoma campus in Downtown and to create the South Puget Sound Higher Education Council. In closing, Grimm shares his opinions on the future direction of UW Tacoma and his perspective on state funding for higher education in Washington.","Dan Grimm (b. 1949) represented Puyallup, Washington, in the state House of Representatives for six terms from 1977 to 1988, and he left the legislature just before the opening of the University of Washington Tacoma. He began this career at age 24 in 1973 as a staff member in the House Higher Education Committee, before he became the director of the non-partisan policy office of the House. When he was elected, he served as the vice chairman and later chairman of the Higher Education Committee. He continued to be involved in higher education matters when he served as the Caucus Chair and then the chair of the House Ways and Means Committee for three terms. During this time, he was a strong and influential advocate for educational opportunities in the Puget Sound area, especially Tacoma. For instance, he worked with former Representative and Tacoma mayor Brian Ebersole and prominent businessman Fred Haley to establish the South Puget Sound Higher Education Council, representing community interests. He also was key to securing state funding for the restoration of Union Station and the construction of the Washington State History Museum. When he left the legislature in 1988, he became the State Treasurer and served two terms. He is currently the Deputy Executive and Chief Operating Officer for Pierce County.","Grimm, Dan, 1949- --Interviews; Legislators--Washington (State); South Puget Sound Higher Education Council; Ebersole, Brian; University of Washington Tacoma--History",,South Puget Sound Higher Education Council; higher education; place-bound students; nontraditional students; urban development; Bill Gerberding; Kelso Gillenwater; News Tribune; Washington State Legislature; House Ways and Means Committee; Higher Education Coordinating (HEC) Board; Bill Chance; Donna Kerr; Brian Ebersole; Chuck Collins; Theater District; Union Station; Glenn Terrell; Sam Smith,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Washington (State)--Olympia; United States--Washington (State)--Everett; United States--Washington (State)--Puyallup,Oral histories,The oral history interview with Dan Grimm was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201808,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201808",University of Washington Tacoma Library,"UW Tacoma Oral History, Founding Stories",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142992012,2/27/2020,3/4/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/48,45; 46; 47,48,49.cpd,/p16786coll18/image/49.cpd,foundingstories48
"Lisa Rankin Faircloth, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201903-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_lrankin_photo.jpg,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/49,,49,50.jp2,/p16786coll18/image/50.jp2,foundingstories49
"Lisa Rankin Faircloth, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201903-Audio,,,,,,,Sound,,,1:27:40,audio/mp3,audio/wav,uwtlib_uwtoralhistory_lrankin_access.mp3,Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2019.,,4/9/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/50,,50,51.mp3,/p16786coll18/image/51.mp3,foundingstories50
"Lisa Rankin Faircloth, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201903-Transcript,,,,,,,Text,,,27 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_lrankin_transcript.pdf,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/51,,51,52.pdf,/p16786coll18/image/52.pdf,foundingstories51
Lisa Rankin Faircloth interview,"Rankin Faircloth, Lisa","Hua, Joan",12/23/2019,23-Dec-19,2019,Staff,Administration; Student Affairs; Admissions; Advising,"Lisa Rankin Faircloth begins her interview by recounting her trajectory working in higher education, which started at Tacoma Community College. She describes her encounter with Carl Rueben Brown, who was president of the NAACP Tacoma branch and active in the Black Collective and Tacoma Urban League. Recalling former colleagues like Steve Smith, Rebecca Gallogly, and Lisa Tice, she shares memories working in Student Affairs when UW Tacoma was creating new programs from scratch. Discussing her close interactions with students through advising and the Black Student Union (BSU), she mentions early alumni, including Bryan Neal, Jelisa Marshall, Clearance Slaughter, and Irish Finch. In the later part of the interview, she discusses significant events in the UW Tacoma history, including the BSU's advocating for diversity and representation in faculty hiring and collective bargaining efforts when she was the chapter president of SEIU Local 925.","Lisa Rankin Faircloth (b. 1961) was born in Tacoma and grew up in Spanaway, Washington. Before she came to UW Tacoma in 1992, she had worked at Tacoma Community College and University of Puget Sound. At UW Tacoma, she eventually became the Multicultural Recruitment, Admissions, and Retention Specialist. She advised students, helping them to navigate the complex academic system and to transition from community colleges, military services, family life, and professional careers. She played an important role in conducting community outreach and recruiting diverse students from Tacoma public schools. She has been the advisor for the Black Student Union (BSU) more than once. As a member of SEIU Local 925, she has served as a union steward and the chapter president representing all three UW campuses. She left UW Tacoma in 2009. She is now a minister and lives in South Carolina.","Rankin Faircloth, Lisa--Interviews; Labor union members--Washington (State)--Tacoma; Service Employees International Union. Local 925 (Seattle, Wash.); University of Washington Tacoma--History",,Recruitment; retention; advising; community outreach; Tacoma Public Schools; Black Collective; Black Student Union; SEIU Local 925; labor union; student organization,United States--Washington (State)--Tacoma,Oral histories,The oral history interview with Lisa Rankin Faircloth was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201903,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201903",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1156610052,4/9/2020,6/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/52,49; 50; 51,52,53.cpd,/p16786coll18/image/53.cpd,foundingstories52
"William Philip, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201904-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_bphilip_photo.jpg,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/53,,53,54.jp2,/p16786coll18/image/54.jp2,foundingstories53
"William Philip, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201904-Audio,,,,,,,Sound,,,0:56:26,audio/mp3,audio/wav,uwtlib_uwtoralhistory_bphilip_access.mp3,Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/54,,54,55.mp3,/p16786coll18/image/55.mp3,foundingstories54
"William Philip, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201904-Transcript,,,,,,,Text,,,21 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_bphilip_transcript.pdf,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/55,,55,56.pdf,/p16786coll18/image/56.pdf,foundingstories55
"Bill Philip, interview","Philip, William","Wadland, Justin",12/11/2019,11-Dec-19,2019,Advisory board member,University of Washington Tacoma Advisory Board; Executive Council for A Greater Tacoma,"In this interview, Bill Philip begins by sharing his personal background as a Tacoma native. He explains how the experience growing up in Tacoma and watching it suffer from urban decay compelled him to rally for investment in the city. He talks about how he leveraged his relationships with individuals such as George Weyerhaeuser—with whom he attended Lowell Elementary School—and former Seattle mayor Paul Schell to renew real estate in the city. He recalls his involvement in the powerful Executive Council for A Greater Tacoma with Gary Reed, Frank Shrontz, Erivan Haub, Goerge Russell, and others. He relates how, with the pressure and interest in branch campuses from Washington State University, the Executive Council raised funds and persuaded former University of Washington president Bill Gerberding to place a &quot;branch campus&quot; in downtown Tacoma. Later in the interview, he recalls former chancellor Vicky Carwein recruiting him to chair the UW Tacoma Advisory Board. Other individuals mentioned include former UW president Richard McCormick, governor Booth Gardner, Tacoma businessman Herb Simon, and others.","William &quot;Bill&quot; Philip (b. 1926) is a civic leader and philanthropist in Tacoma, Washington. He was the chairman and CEO of the former Puget Sound Bank and one of the founders and CEO of Columbia Bank. He is a founding supporter of UW Tacoma: In the 1980s, he advocated for a UW &quot;branch campus&quot; in Tacoma and persuaded decision makers to locate it downtown. After the campus opened, he continued to raise funds and voice support for public, corporate, and philanthropic investment in UW Tacoma. He was a member of the Executive Council for A Greater Tacoma, along with George Weyerhaeuser, George Russell, and others. He served for two terms as the chair of the UW Tacoma Advisory Board. He was awarded an Honorary Doctor of Humane Letters degree from University of Washington in 2017.","Philip, William, 1926- Interviews; Puget Sound Bank--Officials and employees; Columbia Bank--Officials and employees; South Puget Sound Higher Education Council; Executives--Washington (State)--Tacoma; Philanthropists--Washington (State)--Tacoma; University of Washington Tacoma--History",,South Puget Sound Higher Education Council; higher education; place-bound students; nontraditional students; urban development; Bill Gerberding; Executive Council for A Greater Tacoma; Advisory Board; Bill Gerberding; Richard L. McCormick; Sam Smith; Vicky Carwein; Washington State Legislature; Goerge Russell; George Weyerhaeuser,United States--Washington (State)--Tacoma,Oral histories,The oral history interview with Bill Philip was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201904,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201904",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1156626192,4/9/2020,6/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/56,53; 54; 55,56,57.cpd,/p16786coll18/image/57.cpd,foundingstories56
"Michael Kalton, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201806-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_mkalton_photo.jpg,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/57,,57,58.jp2,/p16786coll18/image/58.jp2,foundingstories57
"Michael Kalton, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201806-Audio,,,,,,,Sound,,,1:16:38,audio/mp3,audio/wav,uwtlib_uwtoralhistory_mkalton_access.mp3,Converted from digital 24bit/96kHz wav files to 16bit/24kHz mp3 files in 2018.,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/58,,58,59.mp3,/p16786coll18/image/59.mp3,foundingstories58
"Michael Kalton, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201806-Transcript,,,,,,,Text,,,14 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_mkalton_transcript.pdf,,,4/9/2020,4/9/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/59,,59,60.pdf,/p16786coll18/image/60.pdf,foundingstories59
Michael Kalton interview,"Kalton, Michael","Williams, Charles",5/24/2018,24-May-18,2018,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science,"In this interview, Michael Kalton shares his experience as a founding faculty member at University of Washington Tacoma, shedding light on the tight-knit initial faculty, the growth of the institution overtime, and relationships with the university administration and local community. He begins by tracing his own academic background and explaining how, as a specialized expert in Korean Neo-Confucianism, he had come to choose an interdisciplinary, flexible career at UW Tacoma. He characterizes the dynamic among his first colleagues as natural, easy, and without a sense of hierarchy. He praises the nontraditional student body in the early years and remarks on how the University was concerned about diversifying the faculty, noting Michael Honey as a strong advocate. He goes on to explain the problems with scaling up interdisciplinarity and how that became an issue as the University grew. In the second half of the interview, Kalton recalls in more detail his motivation for organizing the faculty, which led him to establish the Faculty Assembly. While the University was backed by strong, high-level support from the South Sound community, he admits that he and his colleagues were overall too absorbed in building the institution to devote much to community outreach and developing relationships. He recalls his time as the director of the Interdisciplinary Arts and Sciences program, as well as his academic interests in tackling the natural sciences from a religion and philosophy perspective. Closing the interview, Kalton reflects on UW Tacoma’s inevitable direction toward departmentalization, diverging from the innovative, liberal arts approach he and many others had envisioned and hoped for. He concludes that his tenure at UW Tacoma was a dream job representing something he truly believed in.","Michael Kalton (b. 1940) is a scholar of Korean Neo-Confucianism and a founding faculty member of University of Washington Tacoma. He was a Jesuit for 12 years, during which he completed his master’s degree in Greek and a licentiate in philosophy at St. Louis University. After teaching Greek and philosophy at a Roman Catholic Seminarian in Korea for three years, he became interested in East Asian cultures and worldviews. In 1970, he started his doctorate program at Harvard University, and there he met his wife, Margaret Kalton. By the time he completed his PhD, a joint-degree in Comparative Religion and East Asian Languages and Civilizations, in 1977, he had a two-year-old son, Max. He and his family then moved to Kansas, where he became a tenured professor of East Asian religions at Wichita State University and taught for 12 years. His daughter, Annaka, was born there in 1979. In 1990, he was offered professor positions at both University of Southern California and at University of Washington Tacoma. He chose the latter, more interdisciplinary option. At UW Tacoma, he founded the Faculty Assembly and chaired the organization for two terms. He was also the director of the Interdisciplinary Arts and Science program from 1996 to 2000. He retired from his 34 years of teaching in 2011. He has translated four books, including To Become a Sage: The Ten Diagrams on Sage Learning (1988) and The Four-Seven Debate: An Annotated Translation of the Most Famous Controversy in Korean Neo-Confucian Thought (1994). He co-authored the book Principles of Systems Science (2015) with George Mobus, UW Tacoma professor emeritus of computer science. He has received many honors in his career, including the International T'oegye Studies Award in 1987 and UW Tacoma’s first Distinguished Teaching Award.","Kalton, Michael--Interviews; Jesuits--Washington (State)--Tacoma; University of Washington Tacoma--Faculty; University of Washington Tacoma--History",,Jesuit; Confucianism; religion; philosophy; Korea; interdisciplinarity; Interdisciplinary education; faculty governance,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle; United States--Kansas--Wichita,Oral histories,The oral history interview with Michael Kalton was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201806,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201806",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1156610095,4/9/2020,6/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/60,57; 58; 59,60,61.cpd,/p16786coll18/image/61.cpd,foundingstories60
"Robert Crawford, photograph",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201805-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_rcrawford_photo.JPG,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/61,,61,62.jp2,/p16786coll18/image/62.jp2,foundingstories61
"Robert Crawford, audio",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201805-Audio,,,,,,,Sound,,,1:12:26,audio/mp3,audio/wav,uwtlib_uwtoralhistory_rcrawford_access.mp3,Converted from digital 24bit/96kHz wav files to 16bit/24kHz mp3 files in 2018.,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/62,,62,63.mp3,/p16786coll18/image/63.mp3,foundingstories62
"Robert Crawford, transcript",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201805-Transcript,,,,,,,Text,,,18 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_rcrawford_transcript.pdf,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/63,,63,64.pdf,/p16786coll18/image/64.pdf,foundingstories63
Robert Crawford interview,"Crawford, Robert","Williams, Charles",5/1/2018,1-May-18,2018,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science,"In this interview, Rob Crawford reflects on his involvement in building the University of Washington Tacoma. He describes the various roles he had, including faculty member, chair of the Faculty Assembly for three years, and cofounder of the Washington State Religious Campaign Against Torture. Drawing on his teaching experience at Evergreen State College, he compares experimental models and approaches to an interdisciplinary curriculum. In the first part of the session, Crawford shares his memory of the founding faculty and the first graduating classes. He notes that the students were older and brought with them professional and life experiences, which enabled a sense of collaboration between faculty and students. He recognizes the academic freedom he enjoyed at UW Tacoma, which has allowed him to flexibility design and trailer his teaching. He discusses a sample of his courses, including topics on the AIDS epidemic, the Holocaust, peace and justice, and human rights, and how he has cultivated his cross-disciplinary interests at UW Tacoma as a political scientist, historian, and cultural theorist. He also touches on the creation of the Master of Arts in Interdisciplinary Studies and the Global Honors programs. The interview then turns to faculty relationship with the administration. Crawford looks back at his experience working with UWT’s first chancellor Vicky Carwein, as well as with the Faculty Senate and other faculty organizations in Seattle and Bothell. He laments the institution’s relentless demands for growth, especially in terms of numbers. Continuing with this thought, he expresses the dissonance he felt with his early vision of UWT as a place for innovation in education, noting as well the limits of having interdisciplinarity as the only parameter.Crawford concludes the interview by naming teaching, curriculum development, and institution building as the three most rewarding aspects of his work at UWT. At the same time, he shares his concerns and frustrations about the direction of the institution.","Rob Crawford is a founding faculty member and professor emeritus at the University of Washington Tacoma School of Interdisciplinary Arts and Sciences. His academic interests span the fields of political science, history, and cultural theory. He is a human rights activist and a Faculty Associate with the UW Center for Human Rights. He founded the Washington State Religious Campaign against Torture in 2007 and has continued to facilitate it. In 1960, Crawford was a first-year student at Whittier College, a liberal arts college in Southern California. He was involved in protests against the Vietnam War, and later, intrigued by the birth of the new country, he went to Ghana and conducted part of his undergraduate studies at University of Ghana. He completed his PhD in political science at University of Chicago in 1974 and his postdoctoral work at Northwestern University. Before moving to Washington in 1986, he had taught in the Chicago area and at Boston University. He joined the UW Tacoma founding faculty from Evergreen State College, which influenced his approach to coordinated studies and innovations in teaching. He received the UW Tacoma Distinguished Teaching Award in 1996 and most recently, in 2018, the UW-UWRA Distinguished Retiree Excellence in Community Service Award.",Evergreen State College--Faculty; University of Washington Tacoma--Faculty; Interdisciplinary approach in education--Washington (State)--Tacoma; Washington State Religious Campaign Against Torture; University of Washington Tacoma---History,,higher education; interdisciplinarity; interdisciplinary education; experiential education; Evergreen State College; place-bound students; non-traditional students; Vicky Carwein; Faculty Assembly; MAIS; Global Honors; human rights; torture; AIDS; 9/11,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle,Oral histories,The oral history interview with Robert Crawford was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201805,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201805",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1156610037,5/27/2020,6/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/64,61; 62; 63,64,65.cpd,/p16786coll18/image/65.cpd,foundingstories64
"James Brown, photograph",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201809-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_jbrown_photo.jpg,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/65,,65,66.jp2,/p16786coll18/image/66.jp2,foundingstories65
"James Brown, audio",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201809-Audio,,,,,,,Sound,,,1:24:41,audio/mp3,audio/wav,uwtlib_uwtoralhistory_jbrown_access.mp3,Converted from digital 24bit/96kHz wav files to 16bit/24kHz mp3 files in 2018.,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/66,,66,67.mp3,/p16786coll18/image/67.mp3,foundingstories66
"James Brown, transcript",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201809-Transcript,,,,,,,Text,,,20 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_jbrown_transcript.pdf,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/67,,67,68.pdf,/p16786coll18/image/68.pdf,foundingstories67
James Brown interview,"Brown, James F., 1935-","Williams, Charles",5/29/2018,29-May-18,2018,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science; Academic Affairs,"At the start of this session, Jim Brown recalls the unique interview process to recruit founding faculty at the University of Washington Tacoma and the curriculum planning meeting that took place later, in April 1990. He discusses the risks and unknowns involved in the adventure of building a new institution, noting his initial hesitation toward accepting the position. He shares his impression on the initial group of faculty assembled at the historic Perkins Building, remarking on the diverse academic backgrounds, interests, and personalities, as well as a strong sense of mutual respect for one another. The interview session then moves into the topic of leadership and faculty relationship with the administration. Brown recounts the somewhat unexpected departure of former dean Jack Keating, which led to Brown’s own involvement in the University’s administration and a national search that resulted in Vicky Carwein becoming the new chancellor. In the second half of the interview, Brown discusses the move to the permanent campus and some of the oppositions against UW Tacoma during this time. He characterizes the students in the early years as dedicated and eager to learn. He delves further into the evolving culture and structure on campus, noting a shift under former chancellor Vicky Carwein’s leadership. Toward the end of the interview, Brown expresses the importance of outreach, praising former chancellor Debra Friedman’s commitment to fostering community relationships, as well as commenting on the efforts to diversify the campus population, particularly faculty and staff.","James F. Brown (b. 1935) is professor emeritus at the University of Washington Tacoma School of Interdisciplinary Arts and Sciences. He earned his master’s degree as a Jesuit in philosophy and theological studies. He completed his PhD in philosophy at New York University in 1974. Employed by the State of New Jersey, he taught at the New Jersey City University, as well as at Seton Hall University and Saint Peter's University. In this period, his interest in interdisciplinary studies grew, and he was involved in curriculum planning and redesign. He and his family moved from New Jersey to Tacoma, Washington, when he joined a cohort of UW Tacoma founding faculty in 1989. During his tenure at the University, he was a professor, scholar, and administrator. He served as the interim director for Liberal Studies for one year and Associate Dean for Academic Programs for four years. He was active in the community and was a board member of the Tacoma Art Museum for two terms and of the Greater Tacoma Community Foundation. He retired in 2000.","Brown, James F., 1935--Interviews; University of Washington Tacoma--Faculty; University of Washington Tacoma--History",,Vicky Carwein; Jack Keating; Donna Kerr; Debra Friedman; higher education; liberal education; interdisciplinary education; academic administration; academic affairs; diversity; community engagement,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle,Oral histories,The oral history interview with James Brown was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201809,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201809",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1156508706,5/27/2020,6/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/68,65; 66; 67,68,69.cpd,/p16786coll18/image/69.cpd,foundingstories68
"Beckie Etheridge, photograph",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201905-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,uwtlib_uwtoralhistory_betheridge_photo.jpg,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/69,,69,70.jp2,/p16786coll18/image/70.jp2,foundingstories69
"Beckie Etheridge, audio",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201905-Audio,,,,,,,Sound,,,1:12:03,audio/mp3,audio/wav,uwtlib_uwtoralhistory_betheridge_access.mp3,Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/70,,70,71.mp3,/p16786coll18/image/71.mp3,foundingstories70
"Beckie Etheridge, transcript",,,,,,,,,,,,,,,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201905-Transcript,,,,,,,Text,,,22 pages,application/pdf,text/docs,uwtlib_uwtoralhistory_betheridge_transcript.pdf,,,5/27/2020,5/27/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/71,,71,72.pdf,/p16786coll18/image/72.pdf,foundingstories71
